"east" "north" "yield" "treatment"
317968.96 6093731.6 5.15360258347481 "control"
317845.07 6093916.62 5.16885970374164 "control"
317954.66 6093840.28 5.57792155596603 "control"
317863.23 6093810.46 5.54249251448244 "control"
317945.93 6093844.77 5.29084381508995 "control"
317898.05 6093770.66 5.49281728465048 "control"
317841.41 6093908.67 5.67695713247639 "control"
317932.44 6093792.45 5.53834425321139 "control"
317971 6093819.53 5.53099740827248 "control"
317956.47 6093916.89 5.70955197823785 "control"
317847.83 6093928.22 6.10784397947299 "control"
317932.8 6093805.99 5.47276006994955 "control"
317945.68 6093848.09 5.32714663898179 "control"
317934.86 6093798.6 5.57470169821593 "control"
317910.79 6093873.24 6.05116299542817 "control"
317841.54 6093910.89 5.97704544869757 "control"
317934.61 6093775.18 5.40175263624572 "control"
317935.05 6093811.92 5.31060182858128 "control"
317916.82 6093889.67 5.41788045092697 "control"
317937.97 6093766.37 5.22591651315003 "control"
317965.93 6093733.09 5.34249735732773 "control"
317841.36 6093902.12 5.93836989720384 "control"
317868.86 6093797.7 4.95454602474307 "control"
317878.04 6093918.62 5.57401569536247 "control"
317966.63 6093765.95 5.503881097561 "control"
317877.75 6093901.64 5.63342198924741 "control"
317968.41 6093825.91 5.17075585867493 "control"
317862.07 6093773.48 5.28301154744187 "control"
317843.91 6093861.89 5.62288834423862 "control"
317842.52 6093956.96 6.39315647174704 "control"
317867.15 6093738.3 5.61431830866947 "control"
317898.44 6093787.32 5.91886708575789 "control"
317931.21 6093732.5 5.01015023333098 "control"
317868.28 6093772.17 5.88333146669101 "control"
317936.68 6093727.28 5.57940397823868 "control"
317948.42 6093834.05 5.68004935910559 "control"
317968.41 6093812.49 5.73542837233688 "control"
317934.5 6093771.63 5.66443869241647 "control"
317868.8 6093800.47 6.32157491010498 "control"
317901.13 6093744.65 5.8168330155889 "control"
317937.53 6093756.71 5.69103149736944 "control"
317940.36 6093769.86 6.25353157198807 "control"
317945.79 6093851.42 5.27466330994341 "control"
317874 6093857.84 6.20348242354796 "control"
317841.31 6093904.34 5.59963826206297 "control"
317950.72 6093832.66 5.86504192618522 "control"
317938.42 6093789.24 6.05395783939193 "control"
317954.87 6093843.39 6.19624582726349 "control"
317966.92 6093774.17 5.56913916844972 "control"
317868.61 6093792.15 5.56864793579869 "control"
317935.36 6093818.81 5.79778667979205 "control"
317940.31 6093763.2 6.30937753786298 "control"
317861.12 6093730.74 5.73924758149299 "control"
317867.88 6093760.84 6.15649518823175 "control"
317901.25 6093747.42 5.70791909144463 "control"
317931.3 6093745.7 6.37304374423352 "control"
317936.7 6093730.39 5.49433294536366 "control"
317861.44 6093750.94 6.18129051078995 "control"
317878.76 6093949.93 5.86202558147167 "control"
317901.75 6093772.4 6.0441144896516 "control"
317930.82 6093715.73 6.23180237257794 "control"
