Easting	Northing
316901.13	6088744.65
316790.28	6088784.45
316937.53	6088756.71
316789.49	6088756.25
316940.36	6088769.86
317002.82	6088739.5
316989.76	6088849.32
316945.79	6088851.42
316874	6088857.84
317003.9	6088789.13
317005.76	6088764.75
316829.24	6088755.61
316841.31	6088904.34
317028.43	6088956.08
316950.72	6088832.66
316938.42	6088789.24
316954.87	6088843.39
317005.15	6088826.11
316991.8	6088927.82
317006.11	6088769.97
316791.5	6088827.31
316786.73	6088735.33
316966.92	6088774.17
316809.81	6088933.1
316868.61	6088792.15
316935.36	6088818.81
316940.31	6088763.2
316805.4	6088926.36
316806.24	6088951.9
316861.12	6088730.74
316867.88	6088760.84
316787.88	6088781.74
316807.84	6088850.95
316790.23	6088786.67
316901.25	6088747.42
316931.3	6088745.7
316936.7	6088730.39
316787.88	6088776.97
317026.78	6088924.98
317004.86	6088732.77
317012.12	6088765.21
316803.21	6088917.88
316861.44	6088750.94
316878.76	6088949.93
316901.75	6088772.4
316930.82	6088715.73
317027.82	6088918.67
317020.95	6088943.5
316790.14	6088782.23
316934.84	6088795.27
316786.99	6088744.99
316991.22	6088898.18
316786.39	6088720.67
316966.62	6088757.63
316807.45	6088834.51
316939.6	6088740.1
317004.23	6088795.24
317010.87	6088728.01
316901.7	6088761.3
317009.31	6088755.72
317027.17	6088941.96
316966.33	6088749.3
316966.22	6088741.2
316806.34	6088956.23
316808.97	6088893.91
316901.29	6088750.2
316901.06	6088739.1
316934.59	6088785.17
316951.09	6088859.08
317019.71	6088848.04
316805.54	6088928.47
316831.41	6088760.98
316897.63	6088751.23
316917.55	6088911.88
316809.66	6088927
316842.06	6088930.43
316848.23	6088939.66
317010.59	6088804.47
316845.88	6088948.15
317004.18	6088797.46
316863.46	6088830.44
316867.31	6088743.96
316809.52	6088925
316862.79	6088796.25
316826.09	6088767.76
317003.8	6088780.8
316806.01	6088949.67
316844.4	6088895.52
316938.04	6088776.36
316948.72	6088850.48
316940.17	6088756.76
317021.69	6088920.77
316811.91	6088928.15
316842.29	6088945.97
316934.52	6088788.6
317009.48	6088760.61
316969.39	6088764.23
317019.28	6088869.01
316918.42	6088945.3
317027.56	6088913.67
316966.69	6088763.18
316954.55	6088836.95
316789.21	6088747.81
316791.21	6088814.54
316901	6088741.87
316900.67	6088722.67
316917.49	6088914.77
316968.51	6088820.81
316844.87	6088904.08
316788.86	6088818.27
316848.49	6088953.87
316974.98	6088722.18
316986.06	6088928.37
316804.15	6088951.74
316809.11	6088895.91
316917.05	6088900.89
316937.77	6088763.15
316975.3	6088728.62
317018.08	6088829.59
316898.16	6088778.99
317003.74	6088774.7
317006.36	6088779.75
316936.82	6088733.72
316954.34	6088833.4
316974.68	6088803.74
316976.02	6088764.7
317020.41	6088916.3
316965.83	6088724.88
316861.91	6088759.39
316984.48	6088947.98
316982.83	6088886.02
317002.57	6088729.4
316901.87	6088775.4
316936.74	6088723.95
316787.85	6088769.53
316992.06	6088937.59
316847.68	6088922.44
316968.65	6088724.94
316969.77	6088777.11
316985.34	6088905.6
317011.69	6088750.45
316881.78	6088922.58
316969.65	6088774.01
316788.52	6088803.61
317007.26	6088811.72
316965.7	6088722.1
316803.02	6088909.33
316844.87	6088908.29
316843.91	6088866.11
316985.37	6088908.93
316788.9	6088820.82
317009.35	6088758.17
317019.53	6088883.77
316831.45	6088758.99
316848.27	6088942.43
316833.02	6088815.61
316876.71	6088858.89
316935.41	6088825.47
316976.32	6088768.04
317003.7	6088776.69
317005.38	6088747.54
316805.72	6088932.69
316829.28	6088753.62
316838.75	6088918.71
317020.34	6088910.97
